fpr,tpr,model
0.0,0.0,Grid
0.0,0.00013475272874275703,Grid
0.0,0.0008085163724565423,Grid
0.0,0.0016170327449130846,Grid
0.0,0.003099312761083412,Grid
0.0,0.003368818218568926,Grid
0.0,0.0060638727934240666,Grid
0.0,0.006333378250909581,Grid
0.0,0.013744778331761218,Grid
0.0,0.014014283789246733,Grid
0.0,0.01697884382158739,Grid
0.0,0.0172483492790729,Grid
0.0,0.019269640210214257,Grid
0.0,0.01953914566769977,Grid
0.0,0.02088667295512734,Grid
0.0,0.021156178412612855,Grid
0.0,0.022638458428783183,Grid
0.0,0.022907963886268697,Grid
0.0,0.027220051206036922,Grid
0.0,0.027489556663522437,Grid
0.0,0.02775906212100795,Grid
0.0,0.028028567578493466,Grid
0.0,0.03341867672820375,Grid
0.0,0.03368818218568926,Grid
0.0,0.03557472038808786,Grid
0.0,0.035844225845573376,Grid
0.0,0.04150384045276917,Grid
0.0,0.04177334591025468,Grid
0.0,0.04190809863899744,Grid
0.0,0.042177604096482954,Grid
0.0,0.04339037865516777,Grid
0.0,0.04365988411265328,Grid
0.0,0.04541166958630912,Grid
0.0,0.04568117504379464,Grid
0.0,0.04648969141625118,Grid
0.0,0.04675919687373669,Grid
0.0,0.04878048780487805,Grid
0.0,0.04904999326236356,Grid
0.0,0.04931949871984908,Grid
0.0,0.04958900417733459,Grid
0.0,0.05619188788572969,Grid
0.0,0.0564613933432152,Grid
0.0,0.05848268427435656,Grid
0.0,0.05875218973184207,Grid
0.0,0.061177738849211696,Grid
0.0,0.06144724430669721,Grid
0.0,0.06292952432286754,Grid
0.0,0.06319902978035305,Grid
0.0,0.06670260072766473,Grid
0.0,0.06697210618515025,Grid
0.0,0.06926290257377712,Grid
0.0,0.06953240803126264,Grid
0.0,0.07101468804743297,Grid
0.0,0.07128419350491848,Grid
0.0,0.07141894623366123,Grid
0.0,0.07168845169114675,Grid
0.0,0.07195795714863226,Grid
0.0,0.07222746260611777,Grid
0.0,0.0734402371648026,Grid
0.0,0.0737097426222881,Grid
0.0,0.07478776445223016,Grid
0.0,0.07505726990971567,Grid
0.0,0.07546152809594395,Grid
0.0,0.07573103355342946,Grid
0.0,0.07721331356959979,Grid
0.0,0.07761757175582805,Grid
0.0,0.07775232448457081,Grid
0.0,0.07802182994205632,Grid
0.0,0.07977361541571217,Grid
0.0,0.08004312087319768,Grid
0.0,0.08058213178816871,Grid
0.0,0.08085163724565422,Grid
0.0,0.0890715536989624,Grid
0.0,0.08934105915644792,Grid
0.0,0.0947311683061582,Grid
0.0,0.09500067376364371,Grid
0.0,0.09513542649238647,Grid
0.0,0.09540493194987198,Grid
0.0,0.09688721196604232,Grid
0.0,0.09715671742352783,Grid
0.0,0.0985042447109554,Grid
